"gene","released","defstrong","three_star","one_star_conflicting"
"ABCA4","True","True","93","117"
"ABCD1","True","True","0","66"
"ACADVL","True","True","52","54"
"ACO2","False","True","0","12"
"ACTA1","False","True","26","10"
"ACTC1","True","True","2","13"
"ACVRL1","True","True","18","48"
"ADA","True","True","18","3"
"AIPL1","True","True","30","5"
"AKT3","True","True","0","6"
"ANO5","True","True","15","23"
"APC","True","True","37","294"
"APOB","False","True","0","458"
"ARSA","False","True","0","27"
"ATM","True","True","75","868"
"BMPR2","True","True","66","71"
"BRAF","True","True","1","27"
"BRCA1","True","True","70","362"
"BRCA2","True","True","72","913"
"CACNA1F","False","True","0","11"
"CAPN3","True","True","62","49"
"CDH1","True","True","21","385"
"CDH23","True","True","1","65"
"CDKL5","True","True","53","39"
"CEP290","True","True","36","42"
"CHEK2","False","True","0","141"
"CHM","False","True","0","9"
"COCH","True","True","1","10"
"CPS1","False","True","0","44"
"CSF1R","False","True","0","30"
"CTLA4","True","True","14","7"
"CYP1B1","True","True","25","18"
"CYP27A1","False","True","0","22"
"DCLRE1C","True","True","16","5"
"DDC","True","True","0","14"
"DDX41","False","True","0","94"
"DICER1","True","True","70","164"
"DNAH5","False","True","0","168"
"DNM2","True","True","9","29"
"DYSF","True","True","143","61"
"ENG","True","True","21","88"
"ETHE1","True","True","0","6"
"F11","False","True","0","20"
"F7","False","True","0","22"
"F8","True","True","37","30"
"F9","True","True","25","10"
"FBN1","True","True","43","324"
"FKRP","False","True","0","26"
"FOXC1","False","True","0","11"
"FOXG1","True","True","29","20"
"FOXN1","True","True","27","5"
"G6PD","False","True","0","26"
"GAA","True","True","114","101"
"GALT","True","False","0","38"
"GAMT","True","True","43","3"
"GATA4","False","True","0","11"
"GATM","True","True","11","7"
"GBA1","False","True","0","37"
"GCK","True","True","161","39"
"GDAP1","False","True","0","9"
"GFAP","True","True","0","12"
"GJB2","True","True","8","23"
"GP1BA","True","True","19","7"
"GP1BB","True","True","13","2"
"GP9","True","True","18","5"
"GRIN1","False","True","0","22"
"GRIN2A","False","True","0","66"
"GRIN2B","False","True","0","58"
"GRIN2D","False","True","0","27"
"GUCY2D","True","True","32","21"
"HBA1","False","True","1","17"
"HBA2","False","True","7","21"
"HBB","False","True","11","43"
"HNF1A","True","True","60","21"
"HNF1B","False","True","0","16"
"HNF4A","True","True","63","18"
"HRAS","True","True","0","9"
"IDUA","True","True","82","58"
"IL2RG","True","True","16","12"
"IL7R","True","True","14","6"
"INS","False","True","0","5"
"ITGA2B","False","True","36","11"
"ITGB3","False","True","22","3"
"JAK3","True","True","14","13"
"KCNQ1","True","True","24","77"
"KCNQ4","True","True","0","15"
"KRAS","True","True","0","14"
"LCA5","False","True","0","2"
"LDLR","True","True","167","165"
"LRRK2","False","True","0","20"
"LZTR1","True","True","21","178"
"MAP2K1","True","True","5","12"
"MAP2K2","True","True","2","29"
"MECP2","True","True","68","39"
"MFN2","False","True","0","30"
"MLH1","True","True","0","271"
"MRAS","True","False","5","0"
"MSH2","True","True","0","550"
"MSH6","True","True","0","552"
"MTM1","True","True","10","15"
"MTOR","True","True","0","73"
"MUTYH","False","True","0","541"
"MYBPC3","True","True","10","166"
"MYH6","False","True","0","37"
"MYH7","True","True","4","212"
"MYL2","True","True","2","14"
"MYL3","True","True","4","8"
"MYO15A","True","True","4","162"
"MYO6","True","True","1","9"
"MYO7A","True","True","6","61"
"MYOC","True","True","44","0"
"NAGS","False","True","0","4"
"NDP","False","True","0","0"
"NEB","True","True","11","251"
"NF1","True","True","0","842"
"NKX2-5","False","True","0","30"
"NR2F2","False","True","0","1"
"NRAS","True","True","10","4"
"OFD1","False","True","0","40"
"OPA1","False","True","0","36"
"OTC","True","True","0","36"
"OTOF","True","True","1","120"
"PAH","True","True","71","9"
"PALB2","True","True","1","451"
"PAX6","True","True","0","11"
"PCCA","False","True","0","12"
"PCCB","False","True","0","23"
"PDHA1","True","True","0","11"
"PEX1","False","True","0","25"
"PIK3CA","True","False","0","14"
"PIK3CD","True","True","30","5"
"PIK3R1","True","True","24","5"
"PIK3R2","True","True","0","16"
"PKD1","False","True","0","291"
"PKD2","False","True","0","33"
"PKP2","False","True","0","90"
"PMS2","True","True","0","309"
"POLG","True","False","0","71"
"PPP1CB","True","True","4","6"
"PROC","False","True","0","19"
"PROS1","False","True","0","17"
"PRPH2","False","True","0","17"
"PTEN","True","True","68","171"
"PTPN11","True","True","3","26"
"RAD51C","False","True","0","391"
"RAF1","True","True","2","28"
"RAG1","True","True","17","13"
"RAG2","True","True","20","11"
"RHO","False","True","0","21"
"RIT1","True","True","1","11"
"RMRP","True","True","18","10"
"RP2","False","True","0","13"
"RPE65","True","True","98","6"
"RPGR","True","True","119","34"
"RRAS2","True","True","1","0"
"RS1","True","True","35","17"
"RUNX1","True","True","290","0"
"RYR1","True","True","43","372"
"RYR2","False","True","0","258"
"SCN1A","True","True","18","126"
"SCN1B","True","True","1","20"
"SCN2A","True","True","19","53"
"SCN3A","True","True","4","40"
"SCN8A","True","True","13","52"
"SDHB","False","True","0","57"
"SERPINC1","True","True","46","4"
"SERPING1","False","True","0","20"
"SGCA","True","True","27","12"
"SGCB","True","True","12","6"
"SGCD","True","True","3","3"
"SGCG","True","True","13","8"
"SHOC2","True","True","1","6"
"SLC19A3","True","True","0","8"
"SLC26A4","True","True","5","40"
"SLC6A8","True","True","40","13"
"SLC9A6","True","True","12","14"
"SOD1","False","True","0","8"
"SORD","False","True","0","2"
"SOS1","True","True","1","78"
"SOS2","True","True","7","72"
"SPRED1","False","True","0","37"
"TCF4","True","True","34","13"
"TECTA","True","True","0","61"
"TNNI3","True","True","3","34"
"TNNT2","True","True","5","36"
"TP53","True","True","87","239"
"TPM1","True","True","4","30"
"TYR","False","True","0","28"
"UBE3A","True","True","15","12"
"USH2A","True","True","13","115"
"VHL","True","True","15","173"
"VWF","False","True","89","63"
