"Name","Key","Value"
"RUNX1","RUNX1","290"
"LDLR","LDLR","167"
"GCK","GCK","161"
"DYSF","DYSF","143"
"RPGR","RPGR","119"
"GAA","GAA","114"
"RPE65","RPE65","98"
"ABCA4","ABCA4","93"
"VWF","VWF","89"
"TP53","TP53","87"
"IDUA","IDUA","82"
"ATM","ATM","75"
"BRCA2","BRCA2","72"
"PAH","PAH","71"
"BRCA1","BRCA1","70"
"DICER1","DICER1","70"
"PTEN","PTEN","68"
"MECP2","MECP2","68"
"BMPR2","BMPR2","66"
"HNF4A","HNF4A","63"
"CAPN3","CAPN3","62"
"HNF1A","HNF1A","60"
"RUNX1-AS1","RUNX1-AS1","58"
"CDKL5","CDKL5","53"
"ACADVL","ACADVL","52"
"SERPINC1","SERPINC1","46"
"MYOC","MYOC","44"
"RYR1","RYR1","43"
"FBN1","FBN1","43"
"GAMT","GAMT","43"
"SLC6A8","SLC6A8","40"
"C11orf65","C11orf65","38"
"APC","APC","37"
"F8","F8","37"
"ITGA2B","ITGA2B","36"
"CEP290","CEP290","36"
"RS1","RS1","35"
"TCF4","TCF4","34"
"GUCY2D","GUCY2D","32"
"AIPL1","AIPL1","30"
"PIK3CD","PIK3CD","30"
"FOXG1","FOXG1","29"
"FOXN1","FOXN1","27"
"SGCA","SGCA","27"
"ACTA1","ACTA1","26"
"F9","F9","25"
"CYP1B1","CYP1B1","25"
"KCNQ1","KCNQ1","24"
"PIK3R1","PIK3R1","24"
"ITGB3","ITGB3","22"
"LZTR1","LZTR1","21"
"ENG","ENG","21"
"CDH1","CDH1","21"
"RAG2","RAG2","20"
"SCN2A","SCN2A","19"
"GP1BA","GP1BA","19"
"RMRP","RMRP","18"
"SCN1A","SCN1A","18"
"ADA","ADA","18"
"GP9","GP9","18"
"ACVRL1","ACVRL1","18"
"RAG1","RAG1","17"
"IL2RG","IL2RG","16"
"DCLRE1C","DCLRE1C","16"
"ANO5","ANO5","15"
"VHL","VHL","15"
"UBE3A","UBE3A","15"
"MT-ATP6","MT-ATP6","14"
"CTLA4","CTLA4","14"
"IL7R","IL7R","14"
"JAK3","JAK3","14"
"GP1BB","GP1BB","13"
"SGCG","SGCG","13"
"LOC102723566","LOC102723566","13"
"SCN8A","SCN8A","13"
"USH2A","USH2A","13"
"SEPT5-GP1BB","SEPT5-GP1BB","13"
"SGCB","SGCB","12"
"SLC9A6","SLC9A6","12"
"MT-CO1","MT-CO1","12"
"GATM","GATM","11"
"MT-ND1","MT-ND1","11"
"NEB","NEB","11"
"LOC107133510","LOC107133510","11"
"HBB","HBB","11"
"MTM1","MTM1","10"
"MT-ND5","MT-ND5","10"
"NRAS","NRAS","10"
"MYBPC3","MYBPC3","10"
"SLC26A1","SLC26A1","9"
"DNM2","DNM2","9"
