"uid","genes","inCs","inRel","inDS","cls","interp"
"3380944","F8","True","True","True","Uncertain significance",
"3233995","GCK","True","True","True","Pathogenic",
"3061340","RUNX1/RUNX1-AS1","True","True","True","Uncertain significance",
"2944236","RPE65","True","True","True","Likely pathogenic",
"2925658","CDKL5","True","True","True","Uncertain significance",
"2911507","RUNX1","True","True","True","Likely pathogenic",
"2900640","RUNX1","True","True","True","Likely benign",
"2879097","RUNX1-AS1/RUNX1","True","True","True","Likely benign",
"2865768","RUNX1","True","True","True","Likely benign",
"2857333","RUNX1","True","True","True","Likely pathogenic",
"2857331","RUNX1","True","True","True","Likely pathogenic",
"2840535","RUNX1","True","True","True","Likely pathogenic",
"2834488","RUNX1","True","True","True","Likely benign",
"2831823","RUNX1","True","True","True","Likely benign",
"2825312","RUNX1","True","True","True","Uncertain significance",
"2820100","RUNX1","True","True","True","Likely pathogenic",
"2814451","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"2814422","RUNX1","True","True","True","Likely benign",
"2808511","RUNX1/RUNX1-AS1","True","True","True","Likely pathogenic",
"2808406","RUNX1","True","True","True","Likely pathogenic",
"2808278","RUNX1","True","True","True","Likely benign",
"2773776","APC","True","True","True","Uncertain significance",
"2765748","DICER1","True","True","True","Likely pathogenic",
"2758582","HNF1A","True","True","True","Likely pathogenic",
"2755227","RUNX1","True","True","True","Likely benign",
"2755226","RUNX1","True","True","True","Likely benign",
"2752334","RUNX1","True","True","True","Uncertain significance",
"2750603","RUNX1","True","True","True","Uncertain significance",
"2746579","HNF1A","True","True","True","Likely pathogenic",
"2746077","RUNX1/RUNX1-AS1","True","True","True","Likely pathogenic",
"2736967","HNF4A","True","True","True","Pathogenic",
"2736407","AIPL1","True","True","True","Likely pathogenic",
"2735019","GCK","True","True","True","Likely pathogenic",
"2734991","GCK","True","True","True","Likely pathogenic",
"2734988","GCK","True","True","True","Pathogenic",
"2734274","RUNX1","True","True","True","Likely pathogenic",
"2721246","RUNX1","True","True","True","Likely benign",
"2718511","RUNX1","True","True","True","Uncertain significance",
"2710027","RYR1","True","True","True","Likely pathogenic",
"2699087","RUNX1","True","True","True","Likely benign",
"2688626","ATM/C11orf65","True","True","True","Uncertain significance",
"2682133","VWF","True","True","True","Likely benign",
"2677430","PAH","True","True","True","Pathogenic",
"2674972","DYSF","True","True","True","Pathogenic",
"2674961","DYSF","True","True","True","Pathogenic",
"2665101","RUNX1","True","True","True","Pathogenic",
"2635335","RUNX1","True","True","True","Pathogenic",
"2635153","GCK","True","True","True","Pathogenic",
"2609932","MECP2","True","True","True","Likely benign",
"2585325","ABCA4","True","True","True","Pathogenic",
"2583432","APC","True","True","True","Uncertain significance",
"2580600","HNF4A","True","True","True","Likely pathogenic",
"2579542","RUNX1","True","True","True","Likely pathogenic",
"2578349","GCK","True","True","True","Pathogenic",
"2577224","F8","True","True","True","Uncertain significance",
"2572723","MECP2","True","True","True","Likely benign",
"2567920","GCK","True","True","True","Pathogenic",
"2562354","APC","True","True","True","Uncertain significance",
"2505626","MECP2","True","True","True","Pathogenic",
"2500039","GCK","True","True","True","Pathogenic",
"2447222","PTEN","True","True","True","Likely pathogenic",
"2445404","DICER1","True","True","True","Uncertain significance",
"2443586","FOXG1","True","True","True","Likely pathogenic",
"2441110","DYSF","True","True","True","Pathogenic",
"2441107","DYSF","True","True","True","Pathogenic",
"2435687","SCN2A","True","True","True","Likely pathogenic",
"2431839","GCK","True","True","True","Pathogenic",
"2429353","SERPINC1","True","True","True","Pathogenic",
"2421530","LOC121627832/TCF4","True","True","True","Benign",
"2417518","RPGR","True","True","True","Pathogenic",
"2362516","RUNX1","True","True","True","Benign",
"2355672","UBE3A","True","True","True","Benign",
"2203049","CYP1B1","True","True","True","Likely pathogenic",
"2163677","RAG2","True","True","True","Uncertain significance",
"2149933","RPE65","True","True","True","Likely pathogenic",
"2146436","RUNX1","True","True","True","Likely benign",
"2138734","F9","True","True","True","Likely pathogenic",
"2138538","RPGR","True","True","True","Pathogenic",
"2137915","GUCY2D","True","True","True","Pathogenic",
"2137773","GAMT","True","True","True","Uncertain significance",
"2136907","PTEN","True","True","True","Pathogenic",
"2136853","DCLRE1C","True","True","True","Likely pathogenic",
"2136852","DCLRE1C","True","True","True","Likely pathogenic",
"2136526","GCK","True","True","True","Likely pathogenic",
"2131688","RPE65","True","True","True","Likely pathogenic",
"2121544","RUNX1","True","True","True","Uncertain significance",
"2118854","DCLRE1C","True","True","True","Likely pathogenic",
"2118600","RPGR","True","True","True","Likely pathogenic",
"2110257","RPE65","True","True","True","Pathogenic",
"2108802","FOXN1","True","True","True","Likely pathogenic",
"2106464","RUNX1","True","True","True","Likely pathogenic",
"2092471","RUNX1-AS1/RUNX1","True","True","True","Likely pathogenic",
"2092257","ITGB3/EFCAB13-DT","True","True","True","Uncertain significance",
"2090169","RUNX1","True","True","True","Likely benign",
"2088001","ADA","True","True","True","Uncertain significance",
"2078744","LZTR1","True","True","True","Likely pathogenic",
"2063683","ITGB3","True","True","True","Benign",
